,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.57142857 0.57142857],[0.26244533 0.26244533],[0.25505102 0.25505102],[0.25253814 0.25253814],[0. 0.],[0.26244533 0.26244533]
CinCECGTorso,[0.79668491 0.84072727 0.90411232 0.89420094],[0.80098907 0.85787752 0.90957937 0.89448374],[0.79139785 0.79243031 0.91547875 0.81657167],[0.78524031 0.85606851 0.90791897 0.8225404 ],[0.79101786 0.82549303 0.9076937  0.89743495],[0.84550991 0.91106411 0.93425553 0.89536371]
DiatomSizeReduction,[0.21417647 0.         0.         0.54232614],[0.99540227 0.97208751 1.         0.76696499],[0.99540227 0.98614252 1.         0.87447463],[1. 1. 1. 1.],[0. 0. 0. 0.],[0. 0. 0. 0.]
DistalPhalanxTW,[0.56297415 0.         0.97128586 0.91100602 0.68857674 0.71972217],[0.55809982 0.         0.97128586 0.9035079  0.56730863 0.76485293],[0.44353276 0.44027963 0.97128586 0.9035079  0.55190371 0.70992957],[0.54822117 0.         0.97128586 0.64417854 0.47343208 0.7293833 ],[0.55318255 0.44027963 0.97128586 0.83163091 0.6228411  0.6465292 ],[0.62141504 0.44376016 0.97128586 0.89594703 0.39025485 0.6       ]
CBF,[1.         0.99146013 0.9822366 ],[1. 1. 1.],[1.         0.99829787 0.99647265],[1. 1. 1.],[1.         0.99678972 0.9983753 ],[1.         0.99509305 0.99485369]
DistalPhalanxOutlineAgeGroup,[0.76790663 0.7931583  0.98373875],[0.59619322 0.75346131 0.83037108],[0.71028481 0.73366713 0.98373875],[0.79926256 0.82741097 0.97550649],[0.77216099 0.76838279 0.97550649],[0.75716615 0.78890541 0.96720415]
DistalPhalanxOutlineCorrect,[0.76391796 0.76391796],[0.75323326 0.75323326],[0.81953156 0.81953156],[0.78093381 0.78093381],[0.78721993 0.78721993],[0.78721993 0.78721993]
ChlorineConcentration,[0.75712489 0.87534255 0.89907086],[0.78393449 0.88637876 0.90271354],[0.76732595 0.86504272 0.90313248],[0.75932898 0.86514658 0.88840864],[0.0942809  0.55999338 0.49856622],[0.78047605 0.87528221 0.89793112]
