,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.68085106 0.34782609],[0.87804878 0.11764706],[0.85 0.1 ],[0.84033613 0.0952381 ],[0.86178862 0.        ],[0.87804878 0.11764706]
CinCECGTorso,[0.74683544 0.74175824 0.83510638 0.85185185],[0.74233129 0.7826087  0.83076923 0.85893417],[0.70454545 0.71473354 0.82878412 0.75816993],[0.70588235 0.76966292 0.83684211 0.76973684],[0.71597633 0.77419355 0.81572482 0.85538462],[0.82018927 0.84593838 0.86597938 0.86163522]
DiatomSizeReduction,[0.45833333 0.         0.         0.45454545],[0.98876404 0.93617021 1.         0.74074074],[0.98876404 0.96703297 1.         0.86666667],[1. 1. 1. 1.],[0. 0. 0. 0.],[0. 0. 0. 0.]
DistalPhalanxTW,[0.4        0.         0.91891892 0.8        0.57142857 0.59574468],[0.375      0.         0.91891892 0.75       0.44444444 0.65217391],[0.22222222 0.25       0.91891892 0.75       0.38095238 0.6       ],[0.33333333 0.         0.91891892 0.5        0.28571429 0.60869565],[0.35294118 0.25       0.91891892 0.71428571 0.47619048 0.51162791],[0.38095238 0.28571429 0.91891892 0.70588235 0.21052632 0.46153846]
CBF,[1.         0.98422713 0.98207885],[1. 1. 1.],[1.         0.99680511 0.99646643],[1. 1. 1.],[1.         0.99678457 0.99649123],[1.         0.99358974 0.99295775]
DistalPhalanxOutlineAgeGroup,[0.75       0.75862069 0.88888889],[0.52830189 0.73529412 0.63157895],[0.6875     0.68965517 0.88888889],[0.78787879 0.8        0.84210526],[0.77777778 0.73469388 0.84210526],[0.74626866 0.75471698 0.8       ]
DistalPhalanxOutlineCorrect,[0.72       0.84090909],[0.7047619  0.81871345],[0.78504673 0.86390533],[0.75       0.78378378],[0.74545455 0.8313253 ],[0.74545455 0.8313253 ]
ChlorineConcentration,[0.67910448 0.88059701 0.80116959],[0.71498771 0.89985762 0.84657236],[0.69489415 0.88734995 0.87026406],[0.68329177 0.88888889 0.85348837],[0.01762115 0.4803431  0.44388525],[0.71481943 0.89088333 0.83913043]
