,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Haptics,[0.67683324 0.70308681 0.55559052 0.76492055 0.54918102],[0.6483889  0.69006556 0.57803124 0.70505563 0.54918102],[0.7032765  0.69313936 0.62090515 0.68077035 0.53954551],[0.64112746 0.70308681 0.63963011 0.69837249 0.57095537],[0.6761234  0.63954172 0.67435898 0.71496323 0.59831918],[0.62289261 0.6144518  0.57507454 0.69042715 0.57095537]
Herring,[0.57394404 0.57394404],[0.64168895 0.64168895],[0.52393683 0.52393683],[0.74095857 0.74095857],[0.54232614 0.54232614],[0.5973799 0.5973799]
HandOutlines,[0.8878278 0.8878278],[0.90954905 0.90954905],[0.91260021 0.91260021],[0.90954905 0.90954905],[0.88014083 0.88014083],[0.90218415 0.90218415]
FacesUCR,"[0.96966033 0.99442893 0.96695626 0.99350148 0.9198683  0.99478348
 0.97894501 1.         1.         0.91287093 0.96937591 0.99452827
 0.82081675 0.99948652]","[0.94163142 1.         0.95644334 0.99893674 0.91248468 0.9963513
 0.97894501 0.9916404  1.         0.8814791  0.98324903 0.99625538
 0.76463967 0.99845877]","[0.98789729 0.99442893 0.96489671 0.98145859 0.92376495 0.97526478
 0.9778627  1.         0.99303127 0.84983659 0.96739354 0.99365073
 0.72540089 0.99948652]","[0.98737279 0.9994651  0.95202808 0.98486857 0.9630339  0.96723777
 0.96609178 1.         0.99198872 0.84941452 0.98525361 0.99683042
 0.83889539 0.98913044]","[0.99631675 1.         0.97487404 0.99350148 0.93255674 0.99895888
 0.98156113 1.         0.9860133  0.8814791  0.9822452  0.99683042
 0.87270801 0.98019606]","[0.99051563 0.98829754 0.97124515 0.98802352 0.93106584 0.9906069
 0.9778627  1.         0.9994752  0.84983659 0.92858066 0.99884593
 0.82081675 0.99948652]"
ECGFiveDays,[0.99770379 0.99770379],[0.97208751 0.97208751],[0.990718 0.990718],[0.99764982 0.99764982],[0.97449934 0.97449934],[1. 1.]
FaceFour,[0.98319208 0.95742711 0.94742759 1.        ],[0.98319208 1.         0.96362411 1.        ],[0.98319208 1.         0.96362411 1.        ],[0.98319208 0.95742711 0.94742759 1.        ],[0.98319208 1.         0.96362411 1.        ],[0.98319208 1.         0.96362411 1.        ]
ECG200,[0.91042683 0.91042683],[0.87955588 0.87955588],[0.91042683 0.91042683],[0.87955588 0.87955588],[0.87955588 0.87955588],[0.91042683 0.91042683]
InlineSkate,"[0.49045665 0.50588375 0.55789514 0.5348631  0.69914361 0.63363378
 0.66603981]","[0.45094537 0.42474482 0.52846026 0.53771572 0.7065787  0.64996439
 0.69118217]","[0.41728444 0.53464974 0.54700834 0.43778296 0.68580227 0.66027024
 0.73103554]","[0.50866194 0.62922044 0.47311437 0.55175766 0.70868868 0.64629364
 0.6955614 ]","[0.53318259 0.43752551 0.59392474 0.47938995 0.67614115 0.62935724
 0.79581031]","[0.49274317 0.57852734 0.49171157 0.53621206 0.68136558 0.6758625
 0.69701504]"
ECG5000,[0.94446438 0.60110615 0.59900747 0.         0.97649915],[0.95434515 0.67098317 0.43376071 0.         0.97576415],[0.95330214 0.63771477 0.60013131 0.40797531 0.97845367],[0.94650794 0.60151735 0.69526315 0.40779321 0.98491218],[0.95441848 0.60151735 0.61030413 0.         0.97920488],[0.95295842 0.54207689 0.619043   0.         0.97612465]
