,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Earthquakes,[0.84210526 0.25      ],[0.80597015 0.33333333],[0.796875   0.16666667],[0.79365079 0.14285714],[0.79104478 0.        ],[0.80597015 0.33333333]
CinCECGTorso,[0.86131387 0.69230769 0.785      0.87341772],[0.82312925 0.76704545 0.75700935 0.89542484],[0.71676301 0.76       0.73568282 0.82857143],[0.74534161 0.73262032 0.77941176 0.84782609],[0.76100629 0.85106383 0.71861472 0.87421384],[0.94202899 0.80319149 0.79245283 0.90131579]
DiatomSizeReduction,[0.2972973 0.        0.        1.       ],[0.97777778 0.88       1.         1.        ],[0.97777778 0.93617021 1.         1.        ],[1. 1. 1. 1.],[0. 0. 0. 0.],[0. 0. 0. 0.]
DistalPhalanxTW,[0.5        0.         0.85       0.75       0.66666667 0.51851852],[0.42857143 0.         0.85       0.66666667 0.66666667 0.57692308],[0.22222222 0.33333333 0.85       0.66666667 0.44444444 0.6       ],[0.33333333 0.         0.85       0.6        0.33333333 0.53846154],[0.375      0.33333333 0.85       0.71428571 0.55555556 0.47826087],[0.33333333 0.5        0.85       0.6        0.28571429 0.47368421]
CBF,[1.        0.9689441 1.       ],[1. 1. 1.],[1.         0.99363057 1.        ],[1. 1. 1.],[1.         1.         0.99300699],[1.         0.99358974 0.99295775]
DistalPhalanxOutlineAgeGroup,[0.77419355 0.75862069 0.8       ],[0.7        0.64102564 0.54545455],[0.70967742 0.68965517 0.8       ],[0.78787879 0.84615385 0.72727273],[0.71794872 0.9        0.72727273],[0.73529412 0.83333333 0.66666667]
DistalPhalanxOutlineCorrect,[0.8        0.79569892],[0.74       0.79545455],[0.80769231 0.84883721],[0.65753425 0.89230769],[0.74545455 0.8313253 ],[0.74545455 0.8313253 ]
ChlorineConcentration,[0.77118644 0.8921371  0.71602787],[0.79945055 0.87052342 0.83297645],[0.79036827 0.83710801 0.90453461],[0.77840909 0.83448276 0.8995098 ],[1.         0.88188976 0.28729642],[0.81303116 0.85805278 0.82478632]
