,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Haptics,[0.58064516 0.48484848 0.40740741 0.46666667 0.55555556],[0.51515152 0.51724138 0.34210526 0.47222222 0.55555556],[0.55555556 0.53571429 0.4375     0.44444444 0.45454545],[0.57142857 0.48484848 0.44117647 0.44736842 0.52380952],[0.70833333 0.46428571 0.44736842 0.51515152 0.41935484],[0.47058824 0.44444444 0.33333333 0.48484848 0.52380952]
Herring,[0.66666667 0.60869565],[0.77777778 0.65217391],[0.625      0.58333333],[0.76923077 0.73684211],[0.71428571 0.6       ],[0.63636364 0.61904762]
HandOutlines,[0.93548387 0.89430894],[0.91176471 0.92307692],[0.9        0.93043478],[0.91176471 0.92307692],[0.93442623 0.88709677],[0.91044776 0.91525424]
FacesUCR,"[0.93243243 1.         0.86419753 0.98809524 0.98630137 0.86486486
 1.         1.         1.         1.         0.81818182 0.97515528
 0.85185185 0.98076923]","[0.94202899 1.         0.79310345 0.97674419 0.95945946 0.90140845
 1.         0.984375   1.         0.93333333 0.84090909 0.99367089
 0.76923077 0.94444444]","[0.87804878 1.         0.82352941 0.98780488 0.92405063 0.96825397
 0.98290598 1.         1.         1.         0.75       1.
 0.75       0.98076923]","[0.86746988 0.98901099 0.83950617 0.93181818 0.97530864 0.96774194
 1.         1.         0.97260274 0.92857143 0.925      1.
 0.88888889 0.96153846]","[0.9125     1.         0.8875     0.98809524 0.98666667 0.96969697
 0.97478992 1.         1.         0.93333333 0.80434783 1.
 0.86666667 1.        ]","[0.93506494 0.98876404 0.81609195 1.         0.94871795 0.95454545
 0.98290598 1.         0.98630137 1.         0.825      0.9875
 0.85185185 0.98076923]"
ECGFiveDays,[1.        0.9953271],[1.         0.94666667],[0.99082569 0.99061033],[0.99543379 1.        ],[0.97695853 0.97196262],[1. 1.]
FaceFour,[0.93333333 1.         0.92857143 1.        ],[0.93333333 1.         1.         1.        ],[0.93333333 1.         1.         1.        ],[0.93333333 1.         0.92857143 1.        ],[0.93333333 1.         1.         1.        ],[0.93333333 1.         1.         1.        ]
ECG200,[0.88235294 0.93939394],[0.875      0.91176471],[0.88235294 0.93939394],[0.875      0.91176471],[0.875      0.91176471],[0.88235294 0.93939394]
InlineSkate,"[0.36666667 0.2        0.375      0.41463415 0.44262295 0.41176471
 0.54166667]","[0.22727273 0.2        0.29787234 0.35294118 0.64102564 0.38461538
 0.56      ]","[0.28571429 0.16923077 0.3125     0.39285714 0.57142857 0.46875
 0.5       ]","[0.35294118 0.22727273 0.275      0.43902439 0.55319149 0.56
 0.63636364]","[0.40625    0.1372549  0.4047619  0.48148148 0.60526316 0.37837838
 0.41666667]","[0.39285714 0.23076923 0.27906977 0.425      0.46296296 0.43243243
 0.66666667]"
ECG5000,[0.92821782 0.53333333 0.46969697 0.         0.96951673],[0.90184758 0.48780488 0.94117647 0.         0.97435897],[0.93162393 0.58064516 0.53448276 0.25       0.97309417],[0.93516209 0.59259259 0.47191011 0.16666667 0.98190045],[0.92744861 0.59259259 0.58181818 0.         0.97313433],[0.9304878  0.52       0.54098361 0.         0.96949405]
