,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
OliveOil,[0.8        0.5        0.85714286 0.88888889],[0.75       0.5        0.85714286 0.72727273],[0.         0.46153846 0.75       0.        ],[0.8        0.66666667 0.66666667 0.4       ],[0.90909091 0.5        1.         0.88888889],[0.57142857 0.8        0.75       0.8       ]
Phoneme,"[0.08333333 0.34421365 0.11428571 0.         0.17391304 0.19047619
 0.         0.21875    0.         0.04878049 0.28571429 0.06060606
 0.08       0.         0.18181818 0.25454545 0.33898305 0.
 0.33333333 0.2962963  0.23404255 0.37662338 0.         0.
 0.         0.08510638 0.19178082 0.67826087 0.26666667 0.42424242
 0.         0.         0.10526316 0.37037037 0.         0.
 0.75       0.66666667 0.10810811]","[0.27586207 0.40944882 0.         0.         0.14285714 0.4
 0.         0.27692308 0.         0.18461538 0.27586207 0.07142857
 0.14814815 0.         0.18181818 0.34693878 0.42105263 0.30769231
 0.38016529 0.3559322  0.1369863  0.49689441 0.         0.06896552
 0.         0.04347826 0.2278481  0.7        0.33333333 0.47058824
 0.4        0.         0.         0.41666667 0.         0.
 0.66666667 0.66666667 0.0952381 ]","[0.23529412 0.40495868 0.         0.         0.23076923 0.1875
 0.         0.31428571 0.         0.11111111 0.27272727 0.0952381
 0.13333333 0.         0.18181818 0.28235294 0.23188406 0.26666667
 0.30769231 0.34645669 0.25352113 0.47337278 0.         0.
 0.         0.03703704 0.21568627 0.66666667 0.21052632 0.41221374
 0.33333333 0.         0.         0.38095238 0.         0.
 0.33333333 0.         0.16216216]","[0.04545455 0.44565217 0.25       0.         0.19607843 0.45
 0.         0.29032258 0.         0.14545455 0.31578947 0.05555556
 0.13953488 0.14285714 0.13333333 0.33333333 0.29268293 0.31578947
 0.27368421 0.35514019 0.32876712 0.41538462 0.         0.1025641
 0.         0.1754386  0.21212121 0.48780488 0.38095238 0.40625
 0.22222222 0.4        0.10526316 0.19047619 0.         0.
 0.08695652 0.66666667 0.17647059]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
