,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
OliveOil,[0.8  1.   0.75 0.8 ],[1.         1.         0.75       0.57142857],[0.  0.3 0.6 0. ],[0.8        0.66666667 0.5        1.        ],[0.83333333 1.         1.         0.8       ],[1.         1.         0.6        0.66666667]
Phoneme,"[0.16666667 0.25108225 0.0952381  0.         0.4        0.66666667
 0.         0.22580645 0.         0.08333333 0.30769231 0.07692308
 0.14285714 0.         0.5        0.23728814 0.5        0.
 0.31578947 0.32       0.18965517 0.33333333 0.         0.
 0.         0.13333333 0.21212121 0.63934426 1.         0.37837838
 0.         0.         0.11111111 0.38461538 0.         0.
 1.         0.5        0.14285714]","[0.36363636 0.35135135 0.         0.         0.2        0.5
 0.         0.28125    0.         0.16666667 0.28571429 0.125
 0.22222222 0.         0.5        0.36170213 0.43243243 1.
 0.32857143 0.35       0.13513514 0.42553191 0.         0.08333333
 0.         0.07142857 0.23076923 0.63636364 0.6        0.41025641
 1.         0.         0.         0.5        0.         0.
 1.         0.5        0.10526316]","[0.25       0.36029412 0.         0.         0.375      0.21428571
 0.         0.2972973  0.         0.12       0.25       0.09090909
 0.16666667 0.         0.5        0.35294118 0.26666667 0.5
 0.27272727 0.31884058 0.25714286 0.39215686 0.         0.
 0.         0.04545455 0.17741935 0.61904762 0.33333333 0.36986301
 0.5        0.         0.         0.57142857 0.         0.
 1.         0.         0.21428571]","[0.03846154 0.52564103 0.3        0.         0.15151515 0.40909091
 0.         0.31034483 0.         0.15384615 0.26086957 0.0625
 0.12       0.2        0.16666667 0.33333333 0.27906977 0.375
 0.29545455 0.3877551  0.32432432 0.42857143 0.         0.09090909
 0.         0.2        0.26923077 0.43478261 0.27586207 0.37142857
 0.2        0.5        0.11111111 0.28571429 0.         0.
 0.07692308 0.5        0.27272727]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
