,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Haptics,[0.54545455 0.52459016 0.37931034 0.56756757 0.40816327],[0.5        0.52631579 0.37681159 0.52307692 0.40816327],[0.56338028 0.53571429 0.44444444 0.49230769 0.37735849],[0.50793651 0.52459016 0.46153846 0.50746269 0.42307692],[0.57627119 0.46428571 0.49275362 0.5483871  0.41935484],[0.46376812 0.43636364 0.37142857 0.51612903 0.42307692]
Herring,[0.5 0.7],[0.58333333 0.75      ],[0.43478261 0.68292683],[0.71428571 0.77777778],[0.45454545 0.71428571],[0.53846154 0.68421053]
HandOutlines,[0.87218045 0.92827004],[0.89208633 0.93506494],[0.89361702 0.93449782],[0.89208633 0.93506494],[0.86363636 0.92436975],[0.88405797 0.93103448]
FacesUCR,"[0.93877551 0.99441341 0.90322581 0.98809524 0.91139241 0.92753623
 0.9787234  1.         1.         0.90909091 0.87804878 0.98432602
 0.75409836 0.99029126]","[0.91549296 1.         0.85714286 0.98823529 0.89308176 0.94814815
 0.9787234  0.984375   1.         0.84848485 0.90243902 0.99367089
 0.66666667 0.97142857]","[0.92903226 0.99441341 0.88050314 0.97590361 0.8902439  0.96062992
 0.97046414 1.         0.99300699 0.83870968 0.8372093  0.99363057
 0.62068966 0.99029126]","[0.92307692 0.99447514 0.87741935 0.95348837 0.95180723 0.95238095
 0.96551724 1.         0.97931034 0.8125     0.94871795 0.9968254
 0.78688525 0.97087379]","[0.95424837 1.         0.92207792 0.98809524 0.925      0.98461538
 0.9707113  1.         0.98591549 0.84848485 0.88095238 0.9968254
 0.8125     0.98      ]","[0.96       0.98324022 0.88198758 0.98795181 0.90797546 0.96923077
 0.97046414 1.         0.99310345 0.83870968 0.84615385 0.99371069
 0.75409836 0.99029126]"
ECGFiveDays,[0.99770115 0.99765808],[0.97169811 0.97260274],[0.99082569 0.99061033],[0.99771167 0.99764706],[0.97471264 0.97423888],[1. 1.]
FaceFour,[0.96551724 0.95652174 0.92857143 1.        ],[0.96551724 1.         0.96296296 1.        ],[0.96551724 1.         0.96296296 1.        ],[0.96551724 0.95652174 0.92857143 1.        ],[0.96551724 1.         0.96296296 1.        ],[0.96551724 1.         0.96296296 1.        ]
ECG200,[0.88235294 0.93939394],[0.84848485 0.92537313],[0.88235294 0.93939394],[0.84848485 0.92537313],[0.84848485 0.92537313],[0.88235294 0.93939394]
InlineSkate,"[0.30555556 0.24       0.36144578 0.36170213 0.5        0.42424242
 0.5       ]","[0.23255814 0.2        0.31111111 0.34615385 0.58139535 0.42253521
 0.52830189]","[0.22857143 0.23157895 0.32967033 0.27160494 0.53932584 0.46875
 0.53333333]","[0.31578947 0.3125     0.26506024 0.38297872 0.55319149 0.49122807
 0.56      ]","[0.35135135 0.17283951 0.4        0.325      0.54117647 0.4057971
 0.52631579]","[0.31428571 0.29268293 0.27906977 0.3655914  0.4950495  0.46376812
 0.57142857]"
ECG5000,[0.92879257 0.43243243 0.41059603 0.         0.98303807],[0.93365212 0.47058824 0.31372549 0.         0.98101746],[0.93849938 0.48       0.43356643 0.2        0.98412698],[0.93225606 0.45070423 0.48275862 0.16666667 0.98861048],[0.93880049 0.45070423 0.45714286 0.         0.98489426],[0.93792256 0.37681159 0.45205479 0.         0.9826546 ]
