,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
Haptics,[0.51428571 0.57142857 0.35483871 0.72413793 0.32258065],[0.48571429 0.53571429 0.41935484 0.5862069  0.32258065],[0.57142857 0.53571429 0.4516129  0.55172414 0.32258065],[0.45714286 0.57142857 0.48387097 0.5862069  0.35483871],[0.48571429 0.46428571 0.5483871  0.5862069  0.41935484],[0.45714286 0.42857143 0.41935484 0.55172414 0.35483871]
Herring,[0.4        0.82352941],[0.46666667 0.88235294],[0.33333333 0.82352941],[0.66666667 0.82352941],[0.33333333 0.88235294],[0.46666667 0.76470588]
HandOutlines,[0.81690141 0.96491228],[0.87323944 0.94736842],[0.88732394 0.93859649],[0.87323944 0.94736842],[0.8028169  0.96491228],[0.85915493 0.94736842]
FacesUCR,"[0.94520548 0.98888889 0.94594595 0.98809524 0.84705882 1.
 0.95833333 1.         1.         0.83333333 0.94736842 0.99367089
 0.67647059 1.        ]","[0.89041096 1.         0.93243243 1.         0.83529412 1.
 0.95833333 0.984375   1.         0.77777778 0.97368421 0.99367089
 0.58823529 1.        ]","[0.98630137 0.98888889 0.94594595 0.96428571 0.85882353 0.953125
 0.95833333 1.         0.98611111 0.72222222 0.94736842 0.98734177
 0.52941176 1.        ]","[0.98630137 1.         0.91891892 0.97619048 0.92941176 0.9375
 0.93333333 1.         0.98611111 0.72222222 0.97368421 0.99367089
 0.70588235 0.98039216]","[1.         1.         0.95945946 0.98809524 0.87058824 1.
 0.96666667 1.         0.97222222 0.77777778 0.97368421 0.99367089
 0.76470588 0.96078431]","[0.98630137 0.97777778 0.95945946 0.97619048 0.87058824 0.984375
 0.95833333 1.         1.         0.72222222 0.86842105 1.
 0.67647059 1.        ]"
ECGFiveDays,[0.99541284 1.        ],[0.94495413 1.        ],[0.99082569 0.99061033],[1.         0.99530516],[0.97247706 0.97652582],[1. 1.]
FaceFour,[1.         0.91666667 0.92857143 1.        ],[1.         1.         0.92857143 1.        ],[1.         1.         0.92857143 1.        ],[1.         0.91666667 0.92857143 1.        ],[1.         1.         0.92857143 1.        ],[1.         1.         0.92857143 1.        ]
ECG200,[0.88235294 0.93939394],[0.82352941 0.93939394],[0.88235294 0.93939394],[0.82352941 0.93939394],[0.82352941 0.93939394],[0.88235294 0.93939394]
InlineSkate,"[0.26190476 0.3        0.34883721 0.32075472 0.57446809 0.4375
 0.46428571]","[0.23809524 0.2        0.3255814  0.33962264 0.53191489 0.46875
 0.5       ]","[0.19047619 0.36666667 0.34883721 0.20754717 0.5106383  0.46875
 0.57142857]","[0.28571429 0.5        0.25581395 0.33962264 0.55319149 0.4375
 0.5       ]","[0.30952381 0.23333333 0.39534884 0.24528302 0.4893617  0.4375
 0.71428571]","[0.26190476 0.4        0.27906977 0.32075472 0.53191489 0.5
 0.5       ]"
ECG5000,[0.92936803 0.36363636 0.36470588 0.         0.9969419 ],[0.96778191 0.45454545 0.18823529 0.         0.98776758],[0.94547708 0.40909091 0.36470588 0.16666667 0.99541284],[0.92936803 0.36363636 0.49411765 0.16666667 0.99541284],[0.95043371 0.36363636 0.37647059 0.         0.9969419 ],[0.94547708 0.29545455 0.38823529 0.         0.99617737]
