,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
OliveOil,[0.84852814 0.57735027 0.95742711 0.95346259],[0.77459667 0.57735027 0.95742711 0.85280287],[0.         0.64549722 0.91287093 0.        ],[0.84852814 0.78173596 0.8660254  0.5       ],[0.9486833  0.57735027 1.         0.95346259],[0.63245553 0.81649658 0.91287093 0.90453403]
Phoneme,"[0.2350678  0.65935314 0.37410033 0.         0.33279526 0.33315407
 0.         0.45448584 0.         0.18458065 0.51130999 0.22215636
 0.2349407  0.         0.33315579 0.51062551 0.50357667 0.
 0.58103004 0.51509564 0.53833886 0.63587765 0.         0.
 0.         0.24821964 0.41229721 0.83931485 0.39223227 0.6766144
 0.         0.         0.31487636 0.59504942 0.         0.
 0.77459667 0.99947188 0.29296491]","[0.46962707 0.65926817 0.         0.         0.33189655 0.57548484
 0.         0.51562761 0.         0.44737298 0.51074155 0.22276186
 0.33207648 0.         0.33315579 0.56761348 0.63307072 0.42640143
 0.65372045 0.5883902  0.3660814  0.74861305 0.         0.24109856
 0.         0.17551779 0.46643979 0.86999876 0.47987041 0.72333122
 0.5        0.         0.         0.59601255 0.         0.
 0.70710678 0.99947188 0.2921616 ]","[0.46835333 0.64381714 0.         0.         0.40714937 0.40582674
 0.         0.56908836 0.         0.31776063 0.5396077  0.31280158
 0.33153638 0.         0.33315579 0.47908585 0.44739648 0.42594612
 0.57797465 0.59939916 0.49282127 0.74498339 0.         0.
 0.         0.17473858 0.50946439 0.83835178 0.39139237 0.66442215
 0.4997351  0.         0.         0.53366335 0.         0.
 0.4472136  0.         0.35900371]","[0.23251264 0.60810824 0.46117211 0.         0.51905161 0.70214724
 0.         0.51649397 0.         0.36691838 0.62063289 0.22179227
 0.40339065 0.3326226  0.33244468 0.56630259 0.54515956 0.52083774
 0.49607725 0.56262241 0.56938204 0.62170575 0.         0.33929299
 0.         0.39094556 0.41393007 0.72891694 0.77560502 0.65277401
 0.49893955 0.57704471 0.31487636 0.37695143 0.         0.
 0.31419848 0.99947188 0.35959241]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
