,Raw,ROS,Jittering,Time Warping,SMOTE,ADASYN
OliveOil,[0.8        0.33333333 1.         1.        ],[0.6        0.33333333 1.         1.        ],[0. 1. 1. 0.],[0.8        0.66666667 1.         0.25      ],[1.         0.33333333 1.         1.        ],[0.4        0.66666667 1.         1.        ]
Phoneme,"[0.05555556 0.54716981 0.14285714 0.         0.11111111 0.11111111
 0.         0.21212121 0.         0.03448276 0.26666667 0.05
 0.05555556 0.         0.11111111 0.2745098  0.25641026 0.
 0.35294118 0.27586207 0.30555556 0.43283582 0.         0.
 0.         0.0625     0.175      0.72222222 0.15384615 0.48275862
 0.         0.         0.1        0.35714286 0.         0.
 0.6        1.         0.08695652]","[0.22222222 0.49056604 0.         0.         0.11111111 0.33333333
 0.         0.27272727 0.         0.20689655 0.26666667 0.05
 0.11111111 0.         0.11111111 0.33333333 0.41025641 0.18181818
 0.45098039 0.36206897 0.13888889 0.59701493 0.         0.05882353
 0.         0.03125    0.225      0.77777778 0.23076923 0.55172414
 0.25       0.         0.         0.35714286 0.         0.
 0.5        1.         0.08695652]","[0.22222222 0.46226415 0.         0.         0.16666667 0.16666667
 0.         0.33333333 0.         0.10344828 0.3        0.1
 0.11111111 0.         0.11111111 0.23529412 0.20512821 0.18181818
 0.35294118 0.37931034 0.25       0.59701493 0.         0.
 0.         0.03125    0.275      0.72222222 0.15384615 0.46551724
 0.25       0.         0.         0.28571429 0.         0.
 0.2        0.         0.13043478]","[0.05555556 0.38679245 0.21428571 0.         0.27777778 0.5
 0.         0.27272727 0.         0.13793103 0.4        0.05
 0.16666667 0.11111111 0.11111111 0.33333333 0.30769231 0.27272727
 0.25490196 0.32758621 0.33333333 0.40298507 0.         0.11764706
 0.         0.15625    0.175      0.55555556 0.61538462 0.44827586
 0.25       0.33333333 0.1        0.14285714 0.         0.
 0.1        1.         0.13043478]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
